uid,date,SPACECRAFT_ID,WRS_PATH,WRS_ROW,albedo,NDVI,cloud_cover
21988,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.21214026109363956,0.6733925782674407,0.0
21963,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.15618321088186096,0.2906042397605999,0.0
21931,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.15320455084977502,0.3265816445331639,0.0
21950,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.21467325137301949,0.7096331591957895,0.0
22035,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.20387298669515713,0.09269456116246713,0.0
21985,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19971447572949272,0.481667706784562,0.0
21959,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.21154220476574795,0.7434467128460274,0.0
21929,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18688706456082357,0.09747855960277005,0.0
21951,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.17203101059085266,0.08867991351312997,0.0
21926,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.220303932452158,0.09639158342092291,0.0
21878,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19686309105294808,0.4541879722391195,0.0
21875,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.21246232482944974,0.7164485299699932,0.0
21868,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.16686375295577704,0.09781681510853454,0.0
21994,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18617054147828377,0.5214956576318914,0.0
21990,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.17985551625173135,0.5707539864556544,0.0
21969,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.21582503984535453,0.7068483594049656,0.0
21962,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2124356403817845,0.7314944162059484,0.0
21924,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2188244943207805,0.09667600747844035,0.0
21885,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1803746627089553,0.5349235917103129,0.0
21880,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18638065889136998,0.5169878906314602,0.0
21847,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.21809617800263584,0.6497335533973722,0.0
21925,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2087525881815986,0.6731295760751469,0.0
21920,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2105486495400158,0.6134088083279908,0.0
21923,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22655307908854566,0.7090793886729946,0.0
21837,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.20276988419534267,0.09744420006397139,0.0
21813,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.15927470561821322,0.12454821792223914,0.0
21806,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.23218875313079043,0.7254840136978359,0.0
21783,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2189005868096013,0.7257218955241541,0.0
21730,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.20980589573200317,0.09736650873810795,0.0
21869,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22414742398554977,0.6610841159987094,0.0
21810,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22738857706508162,0.0900721479808009,0.0
21784,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.17444647157477708,0.5073147407437578,0.0
21759,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.17761891405904398,0.5004146995959059,0.0
21752,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2275316235424931,0.6461082535628782,0.0
21772,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22716142916190774,0.6707305143974014,0.0
21693,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1978337744685997,0.09807593208343691,0.0
21714,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19624298947697338,0.5093301520951252,0.0
21863,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.16381926684519021,0.09214265675165018,0.0
21832,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22860768789106073,0.09241008506270705,0.0
21799,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1941878317263478,0.4618884585640823,0.0
21755,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.21535527368847945,0.7337323783672494,0.0
21770,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.16825271125983943,0.0981529018536894,0.0
21745,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.167140212253937,0.09287028002668238,0.0
21724,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22874607262943256,0.09112177781857239,0.0
21689,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19357261527656633,0.45148920556574484,0.0
21661,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.21385027205747223,0.7370758338365698,0.0
21656,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.16544601700345607,0.09549784135744753,0.0
21744,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.15761897835198696,0.11250744284603328,0.0
21723,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1563415596071832,0.12169191874638893,0.0
21692,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22868741376487717,0.7254521049559304,0.0
21713,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2250407672780492,0.7207247966115053,0.0
21635,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1717814092663599,0.3150979416228311,0.0
21631,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19148628427646014,0.16558357489474582,0.0
21610,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1880440898268718,0.18633399581869423,0.0
21606,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22885328510965752,0.7299773234208501,0.0
21603,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2291479662388806,0.7400514801084336,0.0
21552,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.16667042361359022,0.31897482194271504,0.0
21665,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18963471168775559,0.5613561227665829,0.0
21683,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22601669212480852,0.6285647137419718,0.0
21637,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22564715145928724,0.6931587044008496,0.0
21607,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.16037275943698964,0.09857746321942266,0.0
21585,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19803234027266553,0.45357824844039424,0.0
21602,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1937720209228735,0.4891677996133188,0.0
21581,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.21933950601149915,0.660788230438592,0.0
21557,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22415485726151216,0.6768131134903042,0.0
21529,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.23054127782050365,0.6222383491974157,0.0
21523,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.16905028779794767,0.3935425156977886,0.0
21652,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.16051192616085397,0.08799357957228669,0.0
21612,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.15211059834333474,0.09858869325180937,0.0
21600,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19337935343334434,0.4453909598101409,0.0
21556,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.20845700959397964,0.7341171506706395,0.0
21554,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2446020980571854,0.1109148698880547,0.0
21550,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1923804832262536,0.10346554376979022,0.0
21546,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.17150284804043694,0.3569451691330119,0.0
21476,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19380131911901233,0.43772269029339395,0.0
21489,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.213683581840022,0.7259114590712291,0.0
21472,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.17060751571796096,0.1019370281894818,0.0
21527,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19756219924519888,0.15966718597420498,0.0
21526,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19625141246838376,0.1773828594494632,0.0
21521,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22955648706391216,0.7294523638624673,0.0
21495,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2309325053572213,0.7212411786500995,0.0
21447,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18432570660480577,0.3303012384627197,0.0
21467,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19309216939063353,0.16382876653931364,0.0
21444,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1997240977701499,0.18558599152892127,0.0
21442,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.23184147191027923,0.7370257965346362,0.0
21402,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22595772324202826,0.7303648724126027,0.0
21416,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1941476541011174,0.43093982382757995,0.0
21519,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1883523480628285,0.4365718343697451,0.0
21492,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18725348788161542,0.4624764487687729,0.0
21490,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19741642433858003,0.4405987830622535,0.0
21450,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2190517384515208,0.6877546660349589,0.0
21470,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1974252494273792,0.4720891931766818,0.0
21423,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.17499644892711905,0.4497731009153066,0.0
21418,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18362035414187167,0.4430980729690349,0.0
21401,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18635924130157883,0.42664643126729584,0.0
21398,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1983807663594234,0.4280850821880859,0.0
21368,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.20844220881399686,0.732195948044738,0.0
21469,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.17189157542669076,0.09404289627946243,0.0
21445,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.17732493038081282,0.3806418403657847,0.0
21396,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18613321594042667,0.559709449759366,0.0
21392,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1589701796687141,0.10372288744276836,0.0
21366,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.15846688451289948,0.09973824846565024,0.0
21361,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19227033798024235,0.40174165905402315,0.0
21346,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19395795988738102,0.4092604217266358,0.0
21301,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19212057907357144,0.5094053889476573,0.0
21281,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.163158707914218,0.11582167303388269,0.0
21279,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.15855591585198606,0.11051541979384111,0.0
21384,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1932531345662019,0.35434398725757327,0.0
21352,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1963764533928846,0.1581938329930072,0.0
21347,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19682164645045183,0.17157669725735314,0.0
21344,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.22791933091075392,0.7266812486339143,0.0
21340,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1892709820199156,0.522558422871229,0.0
21305,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19415979497488,0.4170781189419916,0.0
21266,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.20135550723597284,0.17089762126419258,0.0
21259,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19973859119224296,0.17537537964923883,0.0
21274,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.2271039804036234,0.7256004760120746,0.0
21231,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18917166761706017,0.46703016486031934,0.0
21353,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19545082252500445,0.4560615525156134,0.0
21324,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1766261915666848,0.44155207464425755,0.0
21306,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1761548585943319,0.42450575203894886,0.0
21302,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19362706248385136,0.44276882846881305,0.0
21252,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1746085484771681,0.40817839457480054,0.0
21256,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18790116643791036,0.42305350796175445,0.0
21227,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19650251206710204,0.4312732954828463,0.0
21862,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.15942833624753852,0.1009640695925589,0.0
21786,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.18205070166598758,0.2328044752748078,0.0
21758,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.1760973524221526,0.22416646158399092,0.0
21749,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.19409330132728883,0.15182120019310338,0.0
21729,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.16513337552997176,0.10251546071683876,0.0
21777,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.15941226723806315,0.10781134798569703,0.0
21698,2015-01-04T07:39:56,LANDSAT_7,169.0,41.0,0.14236152834625881,0.19533233155377072,0.0
